FileName_OrigER,PathName_OrigER,FileName_OrigRNA,PathName_OrigRNA,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigBrightfield,PathName_OrigBrightfield,FileName_OrigDNA,PathName_OrigDNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_ChannelID,Metadata_Col,Metadata_FieldID,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row,Metadata_Reimaged
r03c03f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,1,0.134649903,5,3,1,1,0.0,0.0,-4.5e-06,3,True
r03c03f02p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f02p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f02p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f02p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f02p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f02p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,2,0.134652406,5,3,2,1,-0.000645814,0.000645814,-4.5e-06,3,True
r03c03f03p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f03p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f03p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f03p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f03p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f03p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,3,0.134649605,5,3,3,1,0.0,0.000645814,-4.5e-06,3,True
r03c03f04p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f04p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f04p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f04p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f04p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f04p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,4,0.134647205,5,3,4,1,0.000645814,0.000645814,-4.5e-06,3,True
r03c03f05p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f05p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f05p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f05p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f05p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f05p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,5,0.134646505,5,3,5,1,0.000645814,0.0,-4.5e-06,3,True
r03c03f06p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f06p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f06p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f06p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f06p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f06p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,6,0.134650797,5,3,6,1,-0.000645814,0.0,-4.5e-06,3,True
r03c03f07p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f07p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f07p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f07p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f07p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f07p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,7,0.134650797,5,3,7,1,-0.000645814,-0.000645814,-4.5e-06,3,True
r03c03f08p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f08p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f08p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f08p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f08p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f08p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,8,0.134649307,5,3,8,1,0.0,-0.000645814,-4.5e-06,3,True
r03c03f09p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f09p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f09p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f09p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f09p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r03c03f09p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,C03,9,0.134646699,5,3,9,1,0.000645814,-0.000645814,-4.5e-06,3,True
r04c03f01p01-ch2sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r04c03f01p01-ch6sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r04c03f01p01-ch3sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r04c03f01p01-ch4sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r04c03f01p01-ch1sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,r04c03f01p01-ch5sk1fk1fl1.tiff,/media/18tbdrive/ALSF_pilot_data/Round_4_data/Plate 13 PBT-04FHTC Reimage/BR00148802__2025-11-06T09_18_16-Measurement 2/Images,BR00148802,D03,1,0.134645507,5,3,1,1,0.0,0.0,-4.5e-06,4,True
